Value,GROUPVEG,EVT_PHYS,CHANGE
2,Riparian,Conifer,2
3,Riparian,Conifer,2
4,Riparian,Exotic Herbaceous,3
118,Conifer,Agricultural,4
119,Conifer,Agricultural,4
7,Riparian,Conifer,2
165,Conifer,Agricultural,4
9,Riparian,Conifer,2
169,Conifer,Agricultural,4
175,Conifer,Agricultural,4
12,Riparian,Riparian,2
13,Riparian,Riparian,1
301,Conifer,Agricultural,4
312,Conifer,Agricultural,4
313,Conifer,Agricultural,4
314,Conifer,Agricultural,4
18,Riparian,Exotic Herbaceous,3
19,Riparian,Conifer,2
20,Riparian,Hardwood,2
21,Riparian,Riparian,2
22,Riparian,Conifer,1
23,Riparian,Riparian,2
24,Riparian,Conifer,1
321,Conifer,Agricultural,4
334,Conifer,Agricultural,4
27,Riparian,Riparian,2
28,Riparian,Exotic Herbaceous,3
29,Riparian,Riparian,2
30,Riparian,Conifer,1
31,Riparian,Riparian,2
32,Riparian,Grassland,1
33,Riparian,Riparian,2
34,Riparian,Conifer,1
335,Conifer,Agricultural,4
387,Conifer,Agricultural,4
37,Riparian,Exotic Tree-Shrub,3
395,Conifer,Agricultural,4
462,Conifer,Agricultural,4
473,Conifer,Agricultural,4
486,Conifer,Agricultural,4
42,Riparian,Conifer-Hardwood,2
43,Riparian,Conifer,2
507,Conifer,Agricultural,4
45,Riparian,Conifer,2
46,Riparian,Conifer-Hardwood,2
47,Riparian,Riparian,2
48,Riparian,Hardwood,1
49,Riparian,Hardwood,2
50,Riparian,Exotic Herbaceous,3
51,Riparian,Riparian,2
509,Conifer,Agricultural,4
53,Riparian,Riparian,2
54,Riparian,Riparian,1
55,Riparian,Riparian,1
56,Riparian,Conifer,1
533,Conifer,Agricultural,4
58,Riparian,Exotic Tree-Shrub,3
59,Riparian,Riparian,2
60,Riparian,Riparian,1
61,Riparian,Exotic Tree-Shrub,3
632,Conifer,Agricultural,4
63,Riparian,Conifer,2
64,Riparian,Hardwood,2
65,Riparian,Riparian,2
66,Riparian,Hardwood,1
645,Conifer,Agricultural,4
664,Conifer,Agricultural,4
69,Riparian,Hardwood,2
738,Conifer,Agricultural,4
765,Conifer,Agricultural,4
72,Riparian,Conifer,2
802,Conifer,Agricultural,4
811,Conifer,Agricultural,4
75,Riparian,Developed-Medium Intensity,5
76,Riparian,Grassland,2
822,Conifer,Agricultural,4
981,Conifer,Agricultural,4
990,Conifer,Agricultural,4
1072,Conifer,Agricultural,4
1074,Conifer,Agricultural,4
1099,Conifer,Agricultural,4
1112,Conifer,Agricultural,4
84,Riparian,Riparian,2
85,Riparian,Riparian,1
1114,Conifer,Agricultural,4
87,Riparian,Riparian,2
